Role,Skills,Category,AverageSalary,Location,DemandLevel
Backend Developer,"Terraform,Redis,HTML,ASP.NET,GitHub,PostgreSQL,Kanban",Design,₹19 LPA,Hyderabad,High
Game Developer,"GitLab,Python,Natural Language Processing,Pandas,Sketch",IT/Software,₹36 LPA,Bangalore,Low
SEO Specialist,"Agile,Vue.js,Network Security,MySQL,Express.js,Kanban,Windows,Rust",Finance,₹28 LPA,London,Medium
Financial Analyst,"Go,Node.js,GitLab,Bash",Business,₹25 LPA,Mumbai,Very High
IT Support Specialist,"Jenkins,Figma,Photoshop,Agile",Operations,₹14 LPA,Mumbai,Medium
Customer Success Manager,"Django,Excel,Sketch,Redis,Docker,Linux,Ansible",HR,₹44 LPA,Hyderabad,Medium
Content Creator,"Azure,Ruby on Rails,Ruby,Machine Learning",HR,₹6 LPA,London,Low
Database Administrator,"Computer Vision,Kotlin,PyTorch,Figma",IT/Software,₹44 LPA,London,Low
Financial Analyst,"Jenkins,UI Design,Linux,Figma,Bash,Smart Contracts,GitHub",Business,₹21 LPA,Bangalore,High
Full Stack Developer,"Power BI,TypeScript,HTML",HR,₹20 LPA,Mumbai,High
Blockchain Developer,"Git,Kubernetes,Scikit,Ethereum",IT/Software,₹5 LPA,Chennai,Low
Customer Success Manager,"Python,Penetration Testing,MongoDB,PowerShell,GitHub,Cybersecurity,C++",Operations,₹18 LPA,Hyderabad,High
SEO Specialist,"UX Design,Natural Language Processing,Terraform,AWS,PyTorch,MySQL,Confluence",Data Science,₹45 LPA,Mumbai,High
Video Editor,"Power BI,Pandas,Figma,Vue.js,Ethereum",Data Science,₹41 LPA,Pune,High
HR Manager,"Docker,SQL,Rust,C#",Business,₹33 LPA,San Francisco,High
Customer Success Manager,"Excel,CSS,Computer Vision,Blockchain,Swift",Business,₹42 LPA,New York,Very High
Technical Writer,"Cryptography,Terraform,Kanban,SQL,Illustrator,Flask,Solidity",IT/Software,₹44 LPA,Delhi NCR,High
Operations Manager,"Go,Confluence,Angular",HR,₹28 LPA,Delhi NCR,Very High
Machine Learning Engineer,"JavaScript,Blockchain,PowerShell,Scrum",Business,₹15 LPA,Delhi NCR,Medium
Marketing Specialist,"MongoDB,Python,Terraform,Kanban,Azure,Pandas",HR,₹32 LPA,Bangalore,High
Database Administrator,"Solidity,Illustrator,PowerShell,Windows",HR,₹20 LPA,Pune,Medium
Backend Developer,"NumPy,Python,UI Design,Deep Learning,Flask,Django,Jira",IT/Software,₹29 LPA,Bangalore,Medium
Data Analyst,"NoSQL,Cryptography,Blockchain,Ruby,Tableau,Jira,Terraform,TypeScript",IT/Software,₹33 LPA,Pune,Medium
UI/UX Designer,"Excel,SQL,GitLab,Tableau,ASP.NET,Jira,C++",Design,₹34 LPA,Hyderabad,Medium
Game Developer,"MacOS,Power BI,Sketch,SQL",Finance,₹18 LPA,Pune,Low
Blockchain Developer,"Git,Natural Language Processing,Pandas,Smart Contracts,Kotlin,Angular,Jira,ASP.NET",Design,₹8 LPA,Remote,Medium
Data Scientist,"Java,Docker,Windows,Adobe XD",HR,₹17 LPA,New York,Very High
Graphic Designer,"Swift,Elasticsearch,PowerShell,Ethereum",Design,₹28 LPA,London,Low
Data Analyst,"Python,Node.js,Windows,Elasticsearch,Scikit,Penetration Testing,GitLab,Deep Learning",Design,₹9 LPA,Mumbai,Medium
Financial Analyst,"Kanban,Data Analysis,Excel,NoSQL",Design,₹41 LPA,London,Low
Sales Executive,"Solidity,NoSQL,Django,SQL,ASP.NET,Python,AWS,Bash",Marketing,₹6 LPA,Bangalore,Low
Security Analyst,"GitLab,SQL,Data Visualization,Data Analysis,UI Design,Sketch,Docker,Confluence",Design,₹4 LPA,Delhi NCR,Very High
Data Engineer,"Smart Contracts,Data Visualization,GitHub,Ruby on Rails",IT/Software,₹4 LPA,Remote,Low
Data Engineer,"Sketch,Agile,Computer Vision,Jira",Operations,₹44 LPA,London,Low
Frontend Developer,"HTML,Kotlin,JavaScript,MongoDB,Scikit,NumPy,GitLab,Bitbucket",Data Science,₹12 LPA,Hyderabad,Low
Scrum Master,"PHP,Django,Terraform,Redis,Ruby,Express.js,Linux,Cryptography",Finance,₹22 LPA,Chennai,High
HR Manager,"Machine Learning,Adobe XD,SQL,Java,Bitbucket,Photoshop,Natural Language Processing,PyTorch",IT/Software,₹8 LPA,Remote,Very High
AI Researcher,"Natural Language Processing,Jira,Ruby on Rails",IT/Software,₹14 LPA,Hyderabad,High
Backend Developer,"Elasticsearch,NumPy,Google Cloud,Figma,UX Design",Operations,₹14 LPA,San Francisco,Medium
Product Manager,"Elasticsearch,CSS,GitLab",Finance,₹44 LPA,San Francisco,Low
Software Engineer,"Ruby,Cybersecurity,PowerShell,MongoDB",IT/Software,₹25 LPA,San Francisco,Medium
DevOps Engineer,"MacOS,Django,ASP.NET",IT/Software,₹9 LPA,San Francisco,Very High
Video Editor,"Blockchain,Pandas,Scikit,Confluence,Angular",IT/Software,₹26 LPA,London,Medium
Blockchain Developer,"Kotlin,TensorFlow,Kanban,ASP.NET,Figma,Git,GitLab",Data Science,₹4 LPA,Pune,Very High
SEO Specialist,"Flask,Smart Contracts,GitHub,Git",HR,₹22 LPA,Mumbai,Very High
Operations Manager,"Java,Photoshop,MongoDB,Scrum,JavaScript",Marketing,₹41 LPA,Chennai,Medium
AI Researcher,"Ruby,Cybersecurity,Swift,GitHub,Blockchain,Kubernetes",Design,₹29 LPA,Pune,Medium
Marketing Specialist,"UX Design,Go,Sketch",Design,₹5 LPA,Hyderabad,Very High
Data Analyst,"Data Analysis,TensorFlow,Scrum,Bash",Business,₹32 LPA,New York,High
Scrum Master,"Penetration Testing,JavaScript,Cryptography,Data Visualization,MacOS,GitHub",Data Science,₹40 LPA,Mumbai,Medium
Data Scientist,"Tableau,Figma,MongoDB,React,Deep Learning,MySQL,Jenkins",Marketing,₹35 LPA,San Francisco,High
IT Support Specialist,"UX Design,CSS,Git,React",Marketing,₹40 LPA,Delhi NCR,High
Content Creator,"Go,PyTorch,Express.js,TensorFlow,Rust,Node.js",Design,₹26 LPA,Bangalore,Very High
Software Engineer,"Confluence,Bash,React,Python,Scrum",Design,₹10 LPA,New York,Medium
UI/UX Designer,"Redis,Node.js,Vue.js",HR,₹20 LPA,Pune,Very High
Technical Writer,"Data Visualization,React,JavaScript,Confluence,Python",Marketing,₹10 LPA,Bangalore,Very High
Backend Developer,"Scrum,Rust,Ruby on Rails,Bitbucket,GitHub",HR,₹9 LPA,New York,Low
UI/UX Designer,"PostgreSQL,C#,Java,Network Security,Adobe XD,Ruby,Sketch",Marketing,₹9 LPA,Hyderabad,High
Backend Developer,"Spring Boot,PyTorch,Flask,Natural Language Processing,JavaScript",Operations,₹9 LPA,Remote,Very High
UI/UX Designer,"Jira,Go,JavaScript",Design,₹36 LPA,Hyderabad,Low
Data Analyst,"Cryptography,Express.js,TypeScript,Network Security,Jira,Ansible,CSS",Operations,₹36 LPA,Hyderabad,Medium
Machine Learning Engineer,"HTML,Adobe XD,Figma,Vue.js,Windows,GitLab,Network Security,ASP.NET",Business,₹30 LPA,San Francisco,Medium
Graphic Designer,"Solidity,MySQL,React,Adobe XD,Confluence,Sketch,PyTorch,PHP",Finance,₹12 LPA,London,Low
Sales Executive,"Penetration Testing,Kanban,Swift,Illustrator,Smart Contracts,CSS,Docker",Data Science,₹20 LPA,Mumbai,High
SEO Specialist,"GitLab,Illustrator,Docker,Excel,Python,C++",Operations,₹7 LPA,Pune,High
Backend Developer,"Google Cloud,Smart Contracts,Go,Solidity,Redis,Windows,Angular",Data Science,₹12 LPA,New York,High
Financial Analyst,"Express.js,Ruby,CSS,PostgreSQL,Data Analysis,Ansible,Swift",Business,₹25 LPA,London,Very High
Scrum Master,"NoSQL,Express.js,Django,Network Security,Flask,Deep Learning,Scikit,Swift",Data Science,₹17 LPA,Remote,Medium
Financial Analyst,"Tableau,Python,Elasticsearch,NoSQL,Natural Language Processing,Deep Learning",Operations,₹31 LPA,London,Low
Security Analyst,"Elasticsearch,HTML,NumPy,Jenkins,Python,Django",HR,₹35 LPA,Chennai,High
Customer Success Manager,"GitLab,PyTorch,JavaScript,Azure",Operations,₹25 LPA,London,High
AI Researcher,"Ethereum,Blockchain,React,Bash",IT/Software,₹29 LPA,Chennai,Medium
Marketing Specialist,"AWS,Blockchain,GitLab",Data Science,₹36 LPA,San Francisco,Low
Game Developer,"TensorFlow,Adobe XD,HTML,Ansible,Bash",Data Science,₹14 LPA,Mumbai,Medium
Full Stack Developer,"Solidity,TensorFlow,Ruby on Rails,Network Security,Elasticsearch,Deep Learning,Git,React",Marketing,₹4 LPA,New York,Low
Blockchain Developer,"JavaScript,Spring Boot,Photoshop,Kanban,Bash,Data Analysis,Confluence,Sketch",Design,₹15 LPA,Chennai,High
Technical Writer,"Ansible,JavaScript,PowerShell",Operations,₹19 LPA,Pune,Very High
DevOps Engineer,"Illustrator,Pandas,Google Cloud,Elasticsearch,SQL,TensorFlow,Bitbucket",Marketing,₹14 LPA,New York,High
Mobile App Developer,"Illustrator,Solidity,Flask",Design,₹21 LPA,Bangalore,High
Sales Executive,"Terraform,Rust,HTML,Smart Contracts",Marketing,₹14 LPA,Pune,High
Video Editor,"Ethereum,Windows,CSS,Terraform,Blockchain,Swift",Data Science,₹42 LPA,San Francisco,Very High
Site Reliability Engineer,"MacOS,Swift,Figma,Blockchain",Design,₹7 LPA,Chennai,Low
SEO Specialist,"C#,Natural Language Processing,Photoshop,Swift,Flask,Confluence,Deep Learning",Design,₹5 LPA,Chennai,Very High
Technical Writer,"Tableau,Python,SQL,Docker,Vue.js,Spring Boot,Computer Vision",Finance,₹11 LPA,Mumbai,High
Technical Recruiter,"Kotlin,Terraform,Excel,Network Security,Bash,Illustrator",Design,₹16 LPA,Pune,High
UI/UX Designer,"NumPy,Excel,AWS,React,Elasticsearch,Jenkins",Business,₹21 LPA,Chennai,Medium
Legal Advisor,"Terraform,Network Security,Excel,Scrum,Angular,ASP.NET,Power BI,PHP",HR,₹39 LPA,London,Low
Operations Manager,"MySQL,PyTorch,Jenkins,GitHub,Illustrator",IT/Software,₹32 LPA,San Francisco,Very High
Data Scientist,"Bitbucket,JavaScript,Docker,Power BI",Business,₹17 LPA,Remote,Low
Legal Advisor,"Ethereum,Ruby,Agile,GitHub,Vue.js,Scrum",Marketing,₹20 LPA,Delhi NCR,Medium
Backend Developer,"Computer Vision,UI Design,MacOS,Swift,Natural Language Processing,Ruby,PyTorch",Operations,₹40 LPA,San Francisco,Medium
Operations Manager,"Git,Django,Power BI,MacOS,Ruby,Jira",Operations,₹14 LPA,Delhi NCR,Very High
Sales Executive,"Figma,Linux,TypeScript,Penetration Testing",Data Science,₹5 LPA,Mumbai,Low
DevOps Engineer,"Jira,Kubernetes,SQL,Bash,Windows",Data Science,₹8 LPA,Remote,Low
Digital Marketer,"GitLab,Power BI,Data Analysis,MongoDB,Ruby on Rails,Windows,Express.js",Finance,₹6 LPA,Pune,High
Database Administrator,"Scikit,NoSQL,Docker,Natural Language Processing,Go,Smart Contracts,Scrum",Operations,₹41 LPA,San Francisco,High
Cloud Architect,"UI Design,Bash,Rust,Data Analysis",Design,₹6 LPA,Chennai,Very High
Graphic Designer,"Vue.js,Ruby,Ethereum,JavaScript,Sketch,Solidity,PowerShell",Marketing,₹23 LPA,Chennai,Medium
Video Editor,"Penetration Testing,Photoshop,Elasticsearch,Ruby,Illustrator,C++,ASP.NET",Business,₹35 LPA,Remote,Low
Backend Developer,"Pandas,Bitbucket,React,Linux,Jenkins,Django,Figma,Penetration Testing",Data Science,₹34 LPA,Hyderabad,Low
Data Engineer,"TypeScript,Smart Contracts,JavaScript,Elasticsearch,Deep Learning",Design,₹17 LPA,Hyderabad,Very High
Sales Executive,"Tableau,Blockchain,Confluence,PostgreSQL,UX Design,Express.js",Design,₹8 LPA,Mumbai,Low
Backend Developer,"Ruby,Windows,Redis,MongoDB,Cybersecurity,Scrum,Google Cloud",Marketing,₹38 LPA,Pune,Very High
HR Manager,"NumPy,Google Cloud,Solidity,NoSQL",Finance,₹30 LPA,London,High
Mobile App Developer,"Agile,GitLab,Linux,Computer Vision,Java,Photoshop",Marketing,₹44 LPA,Hyderabad,High
Sales Executive,"Google Cloud,Natural Language Processing,Docker",Finance,₹38 LPA,Delhi NCR,Low
Technical Recruiter,"HTML,Docker,Angular,Network Security",Operations,₹25 LPA,Pune,Low
UI/UX Designer,"UX Design,Vue.js,Azure,Data Analysis",Operations,₹30 LPA,Delhi NCR,Low
Data Analyst,"Linux,Power BI,GitLab,Elasticsearch",Finance,₹39 LPA,Pune,Low
Cloud Architect,"Elasticsearch,Confluence,JavaScript",Marketing,₹39 LPA,New York,Very High
Graphic Designer,"CSS,Kotlin,Figma,Git,Linux",Marketing,₹40 LPA,Hyderabad,Low
Network Engineer,"Machine Learning,PyTorch,Penetration Testing,Pandas,Ruby on Rails,MySQL,Bash",Business,₹43 LPA,Chennai,Medium
Blockchain Developer,"SQL,PostgreSQL,Flask,Rust,Cybersecurity",HR,₹34 LPA,Remote,High
Blockchain Developer,"Express.js,Git,Java,ASP.NET,HTML",Design,₹27 LPA,Hyderabad,High
Game Developer,"C++,Flask,Blockchain,Confluence,NumPy,Angular,GitHub",Finance,₹22 LPA,New York,Low
Backend Developer,"HTML,Ansible,TypeScript,Blockchain",Design,₹7 LPA,Mumbai,Medium
Business Analyst,"GitLab,MongoDB,Ansible,Ruby on Rails,Bitbucket,MySQL,Kotlin",Design,₹18 LPA,Mumbai,High
Machine Learning Engineer,"Computer Vision,HTML,Cybersecurity,ASP.NET,Azure,UI Design",Design,₹15 LPA,Chennai,Medium
Full Stack Developer,"Blockchain,TypeScript,MySQL,Bitbucket,Vue.js,SQL",IT/Software,₹11 LPA,London,Low
Data Analyst,"Kanban,PostgreSQL,PyTorch,Ruby,Tableau",IT/Software,₹23 LPA,Bangalore,Low
Network Engineer,"Django,MySQL,PyTorch,GitLab,Smart Contracts",Marketing,₹39 LPA,Mumbai,Medium
Content Creator,"Vue.js,Scikit,Django,NumPy",HR,₹20 LPA,Remote,Low
Scrum Master,"Express.js,CSS,Scrum,UI Design",Operations,₹19 LPA,Bangalore,Low
Mobile App Developer,"Ansible,Solidity,MySQL,UX Design",Data Science,₹8 LPA,New York,Medium
Software Engineer,"PyTorch,React,Confluence,Network Security,Agile,MySQL",Data Science,₹29 LPA,San Francisco,Very High
Technical Writer,"NumPy,Jira,C++,Ansible,MongoDB,React",Business,₹7 LPA,Bangalore,Very High
Blockchain Developer,"Scrum,Express.js,Bash,Elasticsearch,Scikit",IT/Software,₹28 LPA,San Francisco,High
QA Engineer,"Solidity,Sketch,Flask,Rust,UX Design,Adobe XD,PostgreSQL",Marketing,₹12 LPA,Bangalore,Medium
Blockchain Developer,"Cybersecurity,TypeScript,Ruby",IT/Software,₹25 LPA,Bangalore,High
DevOps Engineer,"Git,Cryptography,Confluence,Angular,Sketch,Kanban",IT/Software,₹39 LPA,London,High
Sales Executive,"Deep Learning,Ruby,TypeScript,Rust",Design,₹13 LPA,Mumbai,Very High
Business Analyst,"Git,CSS,Linux",Finance,₹40 LPA,San Francisco,Medium
Customer Success Manager,"Scrum,PyTorch,Solidity,Rust,PHP,Vue.js,Jira",IT/Software,₹45 LPA,Bangalore,Very High
Legal Advisor,"Data Analysis,React,Express.js,AWS,Power BI,Angular,Ansible",IT/Software,₹4 LPA,San Francisco,Medium
QA Engineer,"Bitbucket,Swift,UX Design,Data Visualization,Rust,Network Security,C#",IT/Software,₹41 LPA,London,Medium
IT Support Specialist,"Windows,MongoDB,Pandas,MacOS,Illustrator",Design,₹42 LPA,Remote,Low
Customer Success Manager,"Linux,Cryptography,Smart Contracts,Photoshop,Data Analysis,Vue.js",Marketing,₹37 LPA,Chennai,Low
DevOps Engineer,"NumPy,Computer Vision,Bash,Data Visualization",Finance,₹12 LPA,Chennai,Very High
Blockchain Developer,"MongoDB,Photoshop,GitHub,Tableau,Sketch",Business,₹15 LPA,Delhi NCR,Medium
Content Creator,"Network Security,Jenkins,Smart Contracts,Ethereum,GitLab",Operations,₹43 LPA,Mumbai,Low
Marketing Specialist,"Blockchain,Scikit,MongoDB,NoSQL,Bash",Operations,₹10 LPA,New York,Low
System Administrator,"GitHub,Smart Contracts,React,Computer Vision,Photoshop,Go,Sketch,Penetration Testing",Data Science,₹14 LPA,Pune,Low
AI Researcher,"Sketch,Agile,Angular,NumPy",HR,₹45 LPA,Delhi NCR,High
Game Developer,"Power BI,SQL,Jira,Linux,MacOS,ASP.NET",HR,₹31 LPA,Hyderabad,Medium
Full Stack Developer,"Figma,Excel,Data Analysis,Penetration Testing,Git,Swift,C++",IT/Software,₹36 LPA,London,Very High
SEO Specialist,"Excel,Figma,Flask,GitHub",HR,₹36 LPA,Delhi NCR,Medium
Network Engineer,"Sketch,UI Design,AWS,Kotlin,Jira,C++,NumPy,Node.js",Operations,₹24 LPA,Delhi NCR,High
Network Engineer,"MongoDB,MacOS,Ruby,PostgreSQL,Vue.js,Blockchain,Kotlin,Adobe XD",Operations,₹20 LPA,Remote,Very High
Accountant,"ASP.NET,Jenkins,Django,Computer Vision,Sketch,Data Analysis,Java",Design,₹5 LPA,San Francisco,Medium
Content Creator,"Bash,Google Cloud,Go",Finance,₹23 LPA,London,Very High
IT Support Specialist,"Spring Boot,Vue.js,NoSQL,Tableau,Natural Language Processing,C#",Business,₹34 LPA,Pune,Low
Legal Advisor,"Scrum,Windows,Photoshop,Node.js,Vue.js",Marketing,₹16 LPA,Bangalore,Very High
Business Analyst,"MacOS,PHP,GitHub,Terraform,Blockchain,Smart Contracts,Data Analysis",Operations,₹27 LPA,Delhi NCR,Very High
Game Developer,"Scrum,TensorFlow,UX Design,Kotlin,Angular",IT/Software,₹41 LPA,Remote,Low
Video Editor,"SQL,Cybersecurity,Illustrator,GitHub,UI Design,PyTorch,Sketch,Cryptography",Business,₹40 LPA,Hyderabad,Low
Scrum Master,"UX Design,MySQL,CSS,Ruby on Rails,Blockchain,Machine Learning,Tableau,Go",Finance,₹16 LPA,Pune,High
Site Reliability Engineer,"Excel,TensorFlow,PHP,Figma,React,Express.js,Illustrator",IT/Software,₹21 LPA,London,Very High
Digital Marketer,"GitHub,Sketch,Azure,ASP.NET,Kanban,PHP",Business,₹6 LPA,Mumbai,Low
Accountant,"Smart Contracts,AWS,Git,NumPy,Bash,Google Cloud,Machine Learning,Node.js",IT/Software,₹11 LPA,New York,Low
Network Engineer,"Node.js,Data Analysis,Ethereum,Photoshop,Cryptography,Flask,PostgreSQL,Smart Contracts",Data Science,₹6 LPA,London,Low
Mobile App Developer,"Penetration Testing,Rust,PyTorch,MySQL,GitLab,Python,Blockchain",Marketing,₹42 LPA,Bangalore,Very High
Mobile App Developer,"Pandas,Python,Terraform,UX Design,Ruby,Flask,Sketch,Computer Vision",HR,₹21 LPA,Delhi NCR,High
Game Developer,"AWS,Google Cloud,Vue.js,Ruby on Rails",Business,₹14 LPA,Hyderabad,Low
Business Analyst,"Flask,Scrum,Data Analysis",Operations,₹20 LPA,Delhi NCR,Very High
Cloud Architect,"Agile,PostgreSQL,GitLab,Go,Git",IT/Software,₹7 LPA,Pune,Very High
Technical Recruiter,"Cybersecurity,Ruby on Rails,Solidity,Terraform,Elasticsearch,Excel,Docker,Jira",Business,₹38 LPA,London,Medium
Backend Developer,"AWS,Node.js,GitLab,Penetration Testing",Marketing,₹12 LPA,Delhi NCR,Low
Scrum Master,"GitLab,Cryptography,PHP,Cybersecurity,Azure,Agile",Marketing,₹24 LPA,Chennai,Very High
Machine Learning Engineer,"Tableau,Python,Pandas,Azure",Operations,₹23 LPA,Hyderabad,High
Data Analyst,"Terraform,Vue.js,Rust,Scrum,Figma,UI Design,Ruby on Rails,C++",Design,₹30 LPA,New York,Low
Mobile App Developer,"Bash,Docker,Data Analysis,Ansible,Angular,Swift,UX Design,NumPy",Business,₹45 LPA,Bangalore,Very High
Frontend Developer,"Natural Language Processing,Solidity,Swift,Cybersecurity,Spring Boot,Photoshop,Django,C++",Finance,₹30 LPA,London,Low
SEO Specialist,"TensorFlow,React,NoSQL,Bitbucket,Go",Data Science,₹15 LPA,Hyderabad,Low
Business Analyst,"Flask,Machine Learning,Blockchain",IT/Software,₹6 LPA,Mumbai,Very High
Data Analyst,"Cryptography,C++,Adobe XD,Java",Business,₹14 LPA,San Francisco,High
Software Engineer,"TypeScript,PostgreSQL,Docker,NoSQL,PyTorch",Finance,₹42 LPA,Bangalore,Low
Software Engineer,"Kubernetes,Go,React,Azure",Business,₹37 LPA,Delhi NCR,High
Cloud Architect,"C#,Jenkins,Agile,SQL,Python,PyTorch,Figma",Data Science,₹37 LPA,San Francisco,Very High
Machine Learning Engineer,"Bash,Terraform,AWS",Operations,₹35 LPA,Remote,Medium
Graphic Designer,"PowerShell,Ansible,HTML,Node.js",Operations,₹4 LPA,Hyderabad,Very High
Data Analyst,"Pandas,NoSQL,Smart Contracts,Sketch,Bash",IT/Software,₹6 LPA,New York,Medium
Legal Advisor,"Power BI,PowerShell,Docker,Redis,PostgreSQL,Angular",HR,₹25 LPA,Delhi NCR,Very High
Full Stack Developer,"MongoDB,Spring Boot,Node.js,Docker,JavaScript,C++,Data Visualization,Adobe XD",Business,₹28 LPA,Hyderabad,Very High
Frontend Developer,"Machine Learning,Solidity,Tableau,Excel,C++,Ansible,Terraform",Business,₹21 LPA,Chennai,High
Data Engineer,"MacOS,Agile,GitHub,PHP,Confluence",Operations,₹36 LPA,Chennai,High
Mobile App Developer,"Java,SQL,Solidity,UX Design",Data Science,₹34 LPA,London,High
Sales Executive,"Blockchain,Bash,Data Visualization,Penetration Testing,ASP.NET",HR,₹9 LPA,Bangalore,High
QA Engineer,"Google Cloud,Sketch,C#,Data Analysis,UX Design,Java,NoSQL,Node.js",HR,₹18 LPA,San Francisco,Medium
UI/UX Designer,"Rust,MacOS,AWS,Kanban,Natural Language Processing,Node.js,Google Cloud,Bash",Business,₹4 LPA,Mumbai,Low
Software Engineer,"C++,AWS,Ruby,Ruby on Rails,Excel",HR,₹11 LPA,New York,Low
Machine Learning Engineer,"PostgreSQL,Scikit,Natural Language Processing,PowerShell,Java",Data Science,₹12 LPA,Mumbai,High
IT Support Specialist,"Excel,Swift,MongoDB,Deep Learning,Ethereum",Operations,₹5 LPA,Hyderabad,Very High
Database Administrator,"CSS,Machine Learning,PHP",IT/Software,₹4 LPA,Pune,High
Sales Executive,"Windows,Machine Learning,Flask,Natural Language Processing",Business,₹6 LPA,Delhi NCR,Very High
Legal Advisor,"PowerShell,Azure,CSS,Docker,Ruby,React",Operations,₹27 LPA,Bangalore,High
Graphic Designer,"Data Visualization,Photoshop,Java,Confluence,Kanban,Git,Jenkins",HR,₹39 LPA,Mumbai,Low
SEO Specialist,"HTML,Solidity,Machine Learning,Redis",IT/Software,₹6 LPA,New York,Low
Legal Advisor,"Go,Penetration Testing,Ethereum,Confluence,Cryptography",Marketing,₹34 LPA,Bangalore,Medium
Scrum Master,"Data Visualization,Spring Boot,Bitbucket,Scikit,TypeScript,Redis",IT/Software,₹43 LPA,New York,Medium
Blockchain Developer,"MySQL,Express.js,Java,Penetration Testing,PostgreSQL,Adobe XD",HR,₹5 LPA,Chennai,Very High
Frontend Developer,"Node.js,PyTorch,Terraform,Google Cloud",Data Science,₹4 LPA,Chennai,Low
DevOps Engineer,"Go,C#,Kubernetes",Design,₹37 LPA,San Francisco,Medium
Customer Success Manager,"JavaScript,ASP.NET,Linux,Power BI,Windows,Cybersecurity,SQL,Network Security",IT/Software,₹10 LPA,London,Medium
Scrum Master,"CSS,C#,Spring Boot,Linux,Azure,Ansible,Ethereum",Operations,₹17 LPA,London,High
Product Manager,"Google Cloud,Tableau,Photoshop,Pandas,Confluence",Operations,₹14 LPA,San Francisco,Medium
Site Reliability Engineer,"Rust,Photoshop,Data Visualization,Bash,AWS",HR,₹38 LPA,Hyderabad,Medium
Digital Marketer,"GitLab,Blockchain,Flask,Tableau,Ruby",HR,₹44 LPA,Mumbai,Low
Technical Recruiter,"C#,MongoDB,Elasticsearch,PostgreSQL,Django,Rust,Data Visualization",Marketing,₹28 LPA,Remote,High
Marketing Specialist,"Ruby on Rails,Cryptography,Terraform,Azure,Agile",Business,₹44 LPA,Delhi NCR,Low
Accountant,"PowerShell,NumPy,GitHub,Confluence,React",IT/Software,₹35 LPA,Remote,Medium
Security Analyst,"Illustrator,Photoshop,Spring Boot,Terraform,Python",Finance,₹29 LPA,San Francisco,High
Financial Analyst,"Tableau,Excel,Git,Agile,PostgreSQL,Google Cloud,GitLab,Penetration Testing",Operations,₹24 LPA,Bangalore,High
Database Administrator,"Data Analysis,TensorFlow,NoSQL,Spring Boot",Marketing,₹19 LPA,Remote,Medium
SEO Specialist,"Azure,TensorFlow,Excel,Redis,UI Design,Express.js",Marketing,₹35 LPA,Mumbai,Medium
Data Analyst,"Docker,Vue.js,SQL",Business,₹40 LPA,Bangalore,Medium
Mobile App Developer,"Bash,Angular,Deep Learning",IT/Software,₹31 LPA,San Francisco,Medium
Sales Executive,"Elasticsearch,Tableau,Machine Learning,Kubernetes,Go,Java,Pandas",IT/Software,₹5 LPA,Delhi NCR,Low
Cloud Architect,"Confluence,JavaScript,Data Visualization,Power BI,Redis,Google Cloud,NumPy",Design,₹34 LPA,Remote,Low
Marketing Specialist,"Docker,C++,Ansible",IT/Software,₹24 LPA,Bangalore,Medium
Cloud Architect,"Node.js,Swift,Blockchain,Photoshop",Operations,₹25 LPA,New York,Low
HR Manager,"Git,Penetration Testing,React,Ruby,Confluence,GitLab",HR,₹31 LPA,Remote,Medium
Scrum Master,"React,Node.js,Machine Learning,Tableau",Marketing,₹30 LPA,Mumbai,High
Game Developer,"Ruby,AWS,MySQL,Agile,ASP.NET,Swift,Kotlin,Django",Data Science,₹32 LPA,Hyderabad,High
Blockchain Developer,"React,Vue.js,GitLab,Azure,Rust,TensorFlow",HR,₹36 LPA,London,High
DevOps Engineer,"Cryptography,Blockchain,Redis,Cybersecurity,Jenkins,Network Security,Elasticsearch,Google Cloud",Finance,₹12 LPA,Hyderabad,Medium
Blockchain Developer,"AWS,UX Design,GitLab,Kotlin,MacOS",HR,₹30 LPA,Bangalore,Very High
Marketing Specialist,"Angular,Node.js,Java,Windows,JavaScript,PHP,Python,NoSQL",Operations,₹27 LPA,London,Very High
SEO Specialist,"GitLab,TensorFlow,NoSQL,Ansible,Kotlin,Tableau",Business,₹43 LPA,Delhi NCR,Very High
DevOps Engineer,"Rust,Angular,PyTorch,NoSQL,Java,Deep Learning,Excel,Agile",Finance,₹17 LPA,Delhi NCR,Low
QA Engineer,"Git,UX Design,Google Cloud,Windows",Data Science,₹45 LPA,New York,High
Cloud Architect,"Google Cloud,Git,Java,SQL,NumPy,Azure,Data Analysis",IT/Software,₹24 LPA,Mumbai,Very High
Technical Writer,"Illustrator,Vue.js,JavaScript,Redis,GitHub,Computer Vision",Data Science,₹24 LPA,New York,Low
Graphic Designer,"Angular,Bitbucket,Photoshop,MongoDB,MySQL,ASP.NET",Marketing,₹43 LPA,New York,Very High
Operations Manager,"MongoDB,Agile,Angular,GitLab,ASP.NET,TypeScript",Design,₹16 LPA,New York,Low
Business Analyst,"Rust,Penetration Testing,TypeScript,Power BI,Machine Learning,Azure,Solidity,Docker",Design,₹37 LPA,San Francisco,High
Database Administrator,"Solidity,GitHub,UX Design,MySQL",Design,₹22 LPA,London,High
Frontend Developer,"Docker,Ethereum,C++,Rust",Marketing,₹29 LPA,Delhi NCR,Very High
Frontend Developer,"Python,GitLab,Illustrator,Bitbucket",Design,₹20 LPA,San Francisco,Medium
Accountant,"NoSQL,Express.js,Windows,Ethereum,Agile,MacOS",Operations,₹13 LPA,Delhi NCR,Medium
