Role,Skill,Roadmap_Steps
Accountant,HTML,"[""Week 1: Introduction to HTML Fundamentals & Setup for Accountant"", ""Week 2: Core Concepts, Syntax, and Basic Projects in HTML"", ""Week 3: Advanced HTML Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using HTML""]"
Frontend Developer,Scrum,"[""Week 1: Introduction to Scrum Fundamentals & Setup for Frontend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scrum"", ""Week 3: Advanced Scrum Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scrum""]"
Content Creator,Bash,"[""Week 1: Introduction to Bash Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bash"", ""Week 3: Advanced Bash Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bash""]"
Data Engineer,UX Design,"[""Week 1: Introduction to UX Design Fundamentals & Setup for Data Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in UX Design"", ""Week 3: Advanced UX Design Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using UX Design""]"
Video Editor,Bash,"[""Week 1: Introduction to Bash Fundamentals & Setup for Video Editor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bash"", ""Week 3: Advanced Bash Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bash""]"
Network Engineer,NumPy,"[""Week 1: Introduction to NumPy Fundamentals & Setup for Network Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in NumPy"", ""Week 3: Advanced NumPy Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using NumPy""]"
Technical Writer,Cryptography,"[""Week 1: Introduction to Cryptography Fundamentals & Setup for Technical Writer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cryptography"", ""Week 3: Advanced Cryptography Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cryptography""]"
Content Creator,Linux,"[""Week 1: Introduction to Linux Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Linux"", ""Week 3: Advanced Linux Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Linux""]"
System Administrator,NumPy,"[""Week 1: Introduction to NumPy Fundamentals & Setup for System Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in NumPy"", ""Week 3: Advanced NumPy Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using NumPy""]"
Operations Manager,Power BI,"[""Week 1: Introduction to Power BI Fundamentals & Setup for Operations Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Power BI"", ""Week 3: Advanced Power BI Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Power BI""]"
Graphic Designer,Angular,"[""Week 1: Introduction to Angular Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Angular"", ""Week 3: Advanced Angular Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Angular""]"
Machine Learning Engineer,Kanban,"[""Week 1: Introduction to Kanban Fundamentals & Setup for Machine Learning Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kanban"", ""Week 3: Advanced Kanban Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kanban""]"
Blockchain Developer,Azure,"[""Week 1: Introduction to Azure Fundamentals & Setup for Blockchain Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Azure"", ""Week 3: Advanced Azure Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Azure""]"
System Administrator,Docker,"[""Week 1: Introduction to Docker Fundamentals & Setup for System Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Docker"", ""Week 3: Advanced Docker Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Docker""]"
Data Scientist,NoSQL,"[""Week 1: Introduction to NoSQL Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in NoSQL"", ""Week 3: Advanced NoSQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using NoSQL""]"
Scrum Master,Blockchain,"[""Week 1: Introduction to Blockchain Fundamentals & Setup for Scrum Master"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Blockchain"", ""Week 3: Advanced Blockchain Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Blockchain""]"
Cloud Architect,TensorFlow,"[""Week 1: Introduction to TensorFlow Fundamentals & Setup for Cloud Architect"", ""Week 2: Core Concepts, Syntax, and Basic Projects in TensorFlow"", ""Week 3: Advanced TensorFlow Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using TensorFlow""]"
Data Engineer,Natural Language Processing,"[""Week 1: Introduction to Natural Language Processing Fundamentals & Setup for Data Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Natural Language Processing"", ""Week 3: Advanced Natural Language Processing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Natural Language Processing""]"
Machine Learning Engineer,Confluence,"[""Week 1: Introduction to Confluence Fundamentals & Setup for Machine Learning Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Confluence"", ""Week 3: Advanced Confluence Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Confluence""]"
Financial Analyst,GitHub,"[""Week 1: Introduction to GitHub Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitHub"", ""Week 3: Advanced GitHub Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitHub""]"
UI/UX Designer,C++,"[""Week 1: Introduction to C++ Fundamentals & Setup for UI/UX Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in C++"", ""Week 3: Advanced C++ Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using C++""]"
Backend Developer,NumPy,"[""Week 1: Introduction to NumPy Fundamentals & Setup for Backend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in NumPy"", ""Week 3: Advanced NumPy Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using NumPy""]"
Operations Manager,Jira,"[""Week 1: Introduction to Jira Fundamentals & Setup for Operations Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Jira"", ""Week 3: Advanced Jira Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Jira""]"
Game Developer,Deep Learning,"[""Week 1: Introduction to Deep Learning Fundamentals & Setup for Game Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Deep Learning"", ""Week 3: Advanced Deep Learning Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Deep Learning""]"
Video Editor,HTML,"[""Week 1: Introduction to HTML Fundamentals & Setup for Video Editor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in HTML"", ""Week 3: Advanced HTML Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using HTML""]"
Network Engineer,Sketch,"[""Week 1: Introduction to Sketch Fundamentals & Setup for Network Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Sketch"", ""Week 3: Advanced Sketch Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Sketch""]"
UI/UX Designer,C++,"[""Week 1: Introduction to C++ Fundamentals & Setup for UI/UX Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in C++"", ""Week 3: Advanced C++ Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using C++""]"
Digital Marketer,Angular,"[""Week 1: Introduction to Angular Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Angular"", ""Week 3: Advanced Angular Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Angular""]"
Digital Marketer,Kubernetes,"[""Week 1: Introduction to Kubernetes Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kubernetes"", ""Week 3: Advanced Kubernetes Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kubernetes""]"
Machine Learning Engineer,Power BI,"[""Week 1: Introduction to Power BI Fundamentals & Setup for Machine Learning Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Power BI"", ""Week 3: Advanced Power BI Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Power BI""]"
Game Developer,Excel,"[""Week 1: Introduction to Excel Fundamentals & Setup for Game Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Excel"", ""Week 3: Advanced Excel Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Excel""]"
QA Engineer,Data Visualization,"[""Week 1: Introduction to Data Visualization Fundamentals & Setup for QA Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Data Visualization"", ""Week 3: Advanced Data Visualization Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Data Visualization""]"
Data Engineer,Network Security,"[""Week 1: Introduction to Network Security Fundamentals & Setup for Data Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Network Security"", ""Week 3: Advanced Network Security Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Network Security""]"
Financial Analyst,Network Security,"[""Week 1: Introduction to Network Security Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Network Security"", ""Week 3: Advanced Network Security Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Network Security""]"
Data Engineer,Vue.js,"[""Week 1: Introduction to Vue.js Fundamentals & Setup for Data Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Vue.js"", ""Week 3: Advanced Vue.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Vue.js""]"
Mobile App Developer,Go,"[""Week 1: Introduction to Go Fundamentals & Setup for Mobile App Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Go"", ""Week 3: Advanced Go Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Go""]"
Digital Marketer,Google Cloud,"[""Week 1: Introduction to Google Cloud Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Google Cloud"", ""Week 3: Advanced Google Cloud Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Google Cloud""]"
Content Creator,Swift,"[""Week 1: Introduction to Swift Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Swift"", ""Week 3: Advanced Swift Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Swift""]"
Data Engineer,GitLab,"[""Week 1: Introduction to GitLab Fundamentals & Setup for Data Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitLab"", ""Week 3: Advanced GitLab Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitLab""]"
Digital Marketer,Rust,"[""Week 1: Introduction to Rust Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Rust"", ""Week 3: Advanced Rust Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Rust""]"
Graphic Designer,Confluence,"[""Week 1: Introduction to Confluence Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Confluence"", ""Week 3: Advanced Confluence Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Confluence""]"
Mobile App Developer,Excel,"[""Week 1: Introduction to Excel Fundamentals & Setup for Mobile App Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Excel"", ""Week 3: Advanced Excel Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Excel""]"
Business Analyst,Kotlin,"[""Week 1: Introduction to Kotlin Fundamentals & Setup for Business Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kotlin"", ""Week 3: Advanced Kotlin Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kotlin""]"
DevOps Engineer,Ansible,"[""Week 1: Introduction to Ansible Fundamentals & Setup for DevOps Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ansible"", ""Week 3: Advanced Ansible Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ansible""]"
Product Manager,Docker,"[""Week 1: Introduction to Docker Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Docker"", ""Week 3: Advanced Docker Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Docker""]"
Blockchain Developer,Tableau,"[""Week 1: Introduction to Tableau Fundamentals & Setup for Blockchain Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Tableau"", ""Week 3: Advanced Tableau Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Tableau""]"
Financial Analyst,Redis,"[""Week 1: Introduction to Redis Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Redis"", ""Week 3: Advanced Redis Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Redis""]"
Customer Success Manager,Pandas,"[""Week 1: Introduction to Pandas Fundamentals & Setup for Customer Success Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Pandas"", ""Week 3: Advanced Pandas Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Pandas""]"
Scrum Master,Ethereum,"[""Week 1: Introduction to Ethereum Fundamentals & Setup for Scrum Master"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ethereum"", ""Week 3: Advanced Ethereum Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ethereum""]"
DevOps Engineer,Go,"[""Week 1: Introduction to Go Fundamentals & Setup for DevOps Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Go"", ""Week 3: Advanced Go Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Go""]"
Machine Learning Engineer,Machine Learning,"[""Week 1: Introduction to Machine Learning Fundamentals & Setup for Machine Learning Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Machine Learning"", ""Week 3: Advanced Machine Learning Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Machine Learning""]"
IT Support Specialist,Data Analysis,"[""Week 1: Introduction to Data Analysis Fundamentals & Setup for IT Support Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Data Analysis"", ""Week 3: Advanced Data Analysis Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Data Analysis""]"
Backend Developer,Natural Language Processing,"[""Week 1: Introduction to Natural Language Processing Fundamentals & Setup for Backend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Natural Language Processing"", ""Week 3: Advanced Natural Language Processing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Natural Language Processing""]"
HR Manager,Deep Learning,"[""Week 1: Introduction to Deep Learning Fundamentals & Setup for HR Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Deep Learning"", ""Week 3: Advanced Deep Learning Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Deep Learning""]"
Software Engineer,Scikit,"[""Week 1: Introduction to Scikit Fundamentals & Setup for Software Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scikit"", ""Week 3: Advanced Scikit Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scikit""]"
Technical Recruiter,UX Design,"[""Week 1: Introduction to UX Design Fundamentals & Setup for Technical Recruiter"", ""Week 2: Core Concepts, Syntax, and Basic Projects in UX Design"", ""Week 3: Advanced UX Design Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using UX Design""]"
Operations Manager,Jenkins,"[""Week 1: Introduction to Jenkins Fundamentals & Setup for Operations Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Jenkins"", ""Week 3: Advanced Jenkins Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Jenkins""]"
Data Analyst,Python,"[""Week 1: Introduction to Python Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Python"", ""Week 3: Advanced Python Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Python""]"
Cloud Architect,Blockchain,"[""Week 1: Introduction to Blockchain Fundamentals & Setup for Cloud Architect"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Blockchain"", ""Week 3: Advanced Blockchain Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Blockchain""]"
AI Researcher,HTML,"[""Week 1: Introduction to HTML Fundamentals & Setup for AI Researcher"", ""Week 2: Core Concepts, Syntax, and Basic Projects in HTML"", ""Week 3: Advanced HTML Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using HTML""]"
Graphic Designer,Express.js,"[""Week 1: Introduction to Express.js Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Express.js"", ""Week 3: Advanced Express.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Express.js""]"
Legal Advisor,UI Design,"[""Week 1: Introduction to UI Design Fundamentals & Setup for Legal Advisor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in UI Design"", ""Week 3: Advanced UI Design Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using UI Design""]"
Product Manager,Swift,"[""Week 1: Introduction to Swift Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Swift"", ""Week 3: Advanced Swift Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Swift""]"
Database Administrator,C#,"[""Week 1: Introduction to C# Fundamentals & Setup for Database Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in C#"", ""Week 3: Advanced C# Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using C#""]"
Machine Learning Engineer,UI Design,"[""Week 1: Introduction to UI Design Fundamentals & Setup for Machine Learning Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in UI Design"", ""Week 3: Advanced UI Design Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using UI Design""]"
DevOps Engineer,Confluence,"[""Week 1: Introduction to Confluence Fundamentals & Setup for DevOps Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Confluence"", ""Week 3: Advanced Confluence Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Confluence""]"
Accountant,Figma,"[""Week 1: Introduction to Figma Fundamentals & Setup for Accountant"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Figma"", ""Week 3: Advanced Figma Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Figma""]"
UI/UX Designer,Figma,"[""Week 1: Introduction to Figma Fundamentals & Setup for UI/UX Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Figma"", ""Week 3: Advanced Figma Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Figma""]"
AI Researcher,Confluence,"[""Week 1: Introduction to Confluence Fundamentals & Setup for AI Researcher"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Confluence"", ""Week 3: Advanced Confluence Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Confluence""]"
Data Scientist,Smart Contracts,"[""Week 1: Introduction to Smart Contracts Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Smart Contracts"", ""Week 3: Advanced Smart Contracts Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Smart Contracts""]"
Marketing Specialist,Vue.js,"[""Week 1: Introduction to Vue.js Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Vue.js"", ""Week 3: Advanced Vue.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Vue.js""]"
Data Scientist,Google Cloud,"[""Week 1: Introduction to Google Cloud Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Google Cloud"", ""Week 3: Advanced Google Cloud Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Google Cloud""]"
Scrum Master,PostgreSQL,"[""Week 1: Introduction to PostgreSQL Fundamentals & Setup for Scrum Master"", ""Week 2: Core Concepts, Syntax, and Basic Projects in PostgreSQL"", ""Week 3: Advanced PostgreSQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using PostgreSQL""]"
AI Researcher,Ansible,"[""Week 1: Introduction to Ansible Fundamentals & Setup for AI Researcher"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ansible"", ""Week 3: Advanced Ansible Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ansible""]"
Technical Recruiter,Deep Learning,"[""Week 1: Introduction to Deep Learning Fundamentals & Setup for Technical Recruiter"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Deep Learning"", ""Week 3: Advanced Deep Learning Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Deep Learning""]"
Backend Developer,NoSQL,"[""Week 1: Introduction to NoSQL Fundamentals & Setup for Backend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in NoSQL"", ""Week 3: Advanced NoSQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using NoSQL""]"
QA Engineer,Cryptography,"[""Week 1: Introduction to Cryptography Fundamentals & Setup for QA Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cryptography"", ""Week 3: Advanced Cryptography Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cryptography""]"
SEO Specialist,Swift,"[""Week 1: Introduction to Swift Fundamentals & Setup for SEO Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Swift"", ""Week 3: Advanced Swift Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Swift""]"
Data Scientist,NoSQL,"[""Week 1: Introduction to NoSQL Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in NoSQL"", ""Week 3: Advanced NoSQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using NoSQL""]"
Technical Writer,Confluence,"[""Week 1: Introduction to Confluence Fundamentals & Setup for Technical Writer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Confluence"", ""Week 3: Advanced Confluence Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Confluence""]"
Accountant,Agile,"[""Week 1: Introduction to Agile Fundamentals & Setup for Accountant"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Agile"", ""Week 3: Advanced Agile Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Agile""]"
AI Researcher,Ansible,"[""Week 1: Introduction to Ansible Fundamentals & Setup for AI Researcher"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ansible"", ""Week 3: Advanced Ansible Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ansible""]"
Backend Developer,Scikit,"[""Week 1: Introduction to Scikit Fundamentals & Setup for Backend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scikit"", ""Week 3: Advanced Scikit Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scikit""]"
DevOps Engineer,Tableau,"[""Week 1: Introduction to Tableau Fundamentals & Setup for DevOps Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Tableau"", ""Week 3: Advanced Tableau Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Tableau""]"
Legal Advisor,Data Analysis,"[""Week 1: Introduction to Data Analysis Fundamentals & Setup for Legal Advisor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Data Analysis"", ""Week 3: Advanced Data Analysis Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Data Analysis""]"
Blockchain Developer,Django,"[""Week 1: Introduction to Django Fundamentals & Setup for Blockchain Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Django"", ""Week 3: Advanced Django Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Django""]"
Legal Advisor,GitLab,"[""Week 1: Introduction to GitLab Fundamentals & Setup for Legal Advisor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitLab"", ""Week 3: Advanced GitLab Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitLab""]"
Frontend Developer,Blockchain,"[""Week 1: Introduction to Blockchain Fundamentals & Setup for Frontend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Blockchain"", ""Week 3: Advanced Blockchain Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Blockchain""]"
Full Stack Developer,Cryptography,"[""Week 1: Introduction to Cryptography Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cryptography"", ""Week 3: Advanced Cryptography Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cryptography""]"
Digital Marketer,Kanban,"[""Week 1: Introduction to Kanban Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kanban"", ""Week 3: Advanced Kanban Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kanban""]"
Graphic Designer,Figma,"[""Week 1: Introduction to Figma Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Figma"", ""Week 3: Advanced Figma Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Figma""]"
Frontend Developer,PowerShell,"[""Week 1: Introduction to PowerShell Fundamentals & Setup for Frontend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in PowerShell"", ""Week 3: Advanced PowerShell Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using PowerShell""]"
Database Administrator,Kanban,"[""Week 1: Introduction to Kanban Fundamentals & Setup for Database Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kanban"", ""Week 3: Advanced Kanban Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kanban""]"
Video Editor,Google Cloud,"[""Week 1: Introduction to Google Cloud Fundamentals & Setup for Video Editor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Google Cloud"", ""Week 3: Advanced Google Cloud Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Google Cloud""]"
Mobile App Developer,Python,"[""Week 1: Introduction to Python Fundamentals & Setup for Mobile App Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Python"", ""Week 3: Advanced Python Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Python""]"
Machine Learning Engineer,Figma,"[""Week 1: Introduction to Figma Fundamentals & Setup for Machine Learning Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Figma"", ""Week 3: Advanced Figma Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Figma""]"
Financial Analyst,Jenkins,"[""Week 1: Introduction to Jenkins Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Jenkins"", ""Week 3: Advanced Jenkins Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Jenkins""]"
